,stock_id,date_id,seconds_in_bucket,imbalance_size,imbalance_buy_sell_flag,reference_price,matched_size,far_price,near_price,bid_price,bid_size,ask_price,ask_size,wap,target,time_id,row_id
3297975,140,304,340,0.0,0,1.000496,192435418.57,1.000496,1.000496,1.000363,74905.92,1.000496,7552.0,1.000484,1.8203259,16754,304_340_140
3456070,35,319,0,4052237.8,1,1.0,12678612.96,,,0.999893,9307.0,1.000215,18620.0,1.0,7.8701973,17545,319_0_35
385254,133,36,270,7619859.39,1,1.001716,90010230.67,,,1.001044,206573.73,1.001726,1028.43,1.001722,2.629757,2007,36_270_133
953017,2,89,250,0.0,0,0.999252,1900929.9,,,0.998989,45962.07,0.999845,15182.0,0.999632,-12.3000145,4920,89_250_2
1830729,137,170,250,768379.61,1,1.003789,4440349.01,,,1.003524,11671.66,1.003789,172695.18,1.003541,9.520054,9375,170_250_137
2274903,59,211,110,3057925.15,1,1.002939,2796046.78,,,1.002685,592.2,1.002939,16190.9,1.002694,-6.4998865,11616,211_110_59
4017602,22,370,30,9382598.15,1,0.99929,12803403.75,,,0.999147,17104.38,0.99929,59456.7,0.999179,7.430315,20353,370_30_22
1724702,94,160,370,0.0,0,0.996643,4514842.11,0.996643,0.996643,0.996597,3427.52,0.997248,4501.56,0.996878,0.74982643,8837,160_370_94
4085111,131,376,100,2489271.7,1,0.999117,8196229.89,,,0.998417,35922.6,0.999117,17717.13,0.998886,9.419918,20690,376_100_131
3815424,44,351,370,5725199.31,1,1.002177,33105917.87,1.012061,1.008651,1.001946,27387.72,1.002235,118425.37,1.002,1.4698505,19342,351_370_44
557790,62,52,370,0.0,0,1.001031,9906825.87,1.001031,1.001031,1.000882,1343.5,1.001478,3764.04,1.001039,12.32028,2897,52_370_62
3224602,167,297,520,138175.92,1,0.998751,14150639.23,0.999161,0.999059,0.998649,71235.95,0.998751,9940.92,0.998739,-3.7401915,16387,297_520_167
4517168,188,415,250,202618.11,-1,0.997358,4031116.45,,,0.997358,10501.68,0.997894,90839.88,0.997414,21.129847,22850,415_250_188
2753742,105,254,520,1359580.39,1,0.999386,63826932.13,0.999543,0.999543,0.999229,226623.88,0.999386,82862.0,0.999344,4.9996376,14022,254_520_105
373397,184,35,200,3515145.77,1,0.998511,17607684.72,,,0.998169,2184.75,0.998443,13112.1,0.998208,6.2203407,1945,35_200_184
2448453,81,227,30,2664287.08,-1,0.999116,11334757.09,,,0.998724,8363.65,0.999902,12293.04,0.999201,21.140575,12488,227_30_81
4292530,150,395,20,0.0,0,0.99954,15673152.76,,,0.999379,9346.5,0.999593,20566.7,0.999446,3.1602383,21727,395_20_150
4278666,86,393,430,0.0,0,1.004575,1373677.28,1.004575,1.004575,1.004575,14503.97,1.005125,42931.8,1.004714,-10.480285,21658,393_430_86
2777348,29,257,60,5700274.35,-1,0.999701,25303428.54,,,0.999479,6477.48,1.000326,11525.28,0.999784,0.18954277,14141,257_60_29
4691862,82,431,190,295497.69,-1,0.999799,249011.13,,,0.999799,25362.26,1.006291,78743.1,1.001388,0.53048134,23724,431_190_82
3435905,70,317,90,179618.57,1,1.001028,258275.44,,,1.000681,5702.4,1.001375,3026.1,1.001135,-3.6400557,17444,317_90_70
531893,166,50,130,3952825.25,-1,1.000488,6626619.41,,,1.000488,117476.7,1.000761,68427.44,1.000661,4.0996075,2763,50_130_166
1645386,171,153,190,3804441.41,1,1.002168,15339797.49,,,1.001655,13688.0,1.002241,14654.72,1.001938,-6.070137,8434,153_190_171
2125225,29,197,290,3267682.2,1,1.000275,29945387.82,,,0.998733,3172.8,1.000401,13983.64,0.999042,16.950369,10864,197_290_29
3596643,63,331,430,398287.37,-1,1.001323,4862107.69,0.981972,0.995299,1.001323,49419.85,1.001506,23754.38,1.001446,-3.2401085,18248,331_430_63
1719000,106,160,80,0.0,0,0.999015,6303146.69,,,0.998595,7130.0,0.999015,7133.0,0.998805,-2.5600195,8808,160_80_106
5083476,96,466,520,7048129.16,1,0.998262,94357673.72,0.999148,0.999148,0.998181,197061.26,0.998342,93715.22,0.99829,1.6498566,25682,466_520_96
622934,22,58,430,0.0,0,0.999979,15755924.26,0.999979,0.999979,0.999979,41933.76,1.000197,36010.17,1.000096,-1.0299683,3233,58_430_22
955313,133,89,360,213049.13,1,1.002133,67209512.49,1.003367,1.002309,1.001986,1705.05,1.002309,88691.2,1.001992,-2.9301643,4931,89_360_133
851507,101,80,20,5313.09,-1,0.998222,1381403.07,,,0.99812,88385.0,1.000898,5317.86,1.000741,3.4105778,4402,80_20_101
2398510,87,222,270,0.0,0,1.003926,10023552.99,,,1.003926,2429.0,1.00434,7290.0,1.00403,-18.079876,12237,222_270_87
3629568,188,334,420,513136.06,1,1.008029,16823573.62,1.014224,1.011746,1.008029,7093.72,1.008338,60608.1,1.008061,6.0403347,18412,334_420_188
789602,133,74,160,5081152.91,1,1.000103,53718071.41,,,0.999919,5295.75,1.000344,80176.4,0.999946,4.220009,4086,74_160_133
4796598,18,440,480,347250.56,-1,0.998803,6296479.11,0.997832,0.997832,0.998803,91107.66,0.999288,37103.18,0.999147,6.9999695,24248,440_480_18
3392532,97,313,120,649591.37,-1,1.000763,4478105.36,,,1.000504,11550.0,1.00111,1386.84,1.001045,6.5004826,17227,313_120_97
3945922,142,363,290,39642243.32,1,1.001986,216550309.32,,,1.001831,111617.28,1.002158,6978.36,1.002139,-6.890297,19994,363_290_142
1042805,158,97,400,127689.75,-1,0.99482,2870063.31,0.993102,0.994605,0.99482,11577.5,0.996324,13218.3,0.995523,-5.2398443,5375,97_400_158
4574261,81,420,360,11474953.39,1,0.99997,60732929.85,1.098841,1.029188,0.999873,201095.19,0.99997,82209.01,0.999942,4.299879,23136,420_360_81
2225385,92,206,370,0.0,0,0.994773,1955544.36,0.994773,0.994773,0.993574,21536.0,0.995189,33650.76,0.994205,8.980036,11367,206_370_92
1689381,35,157,230,3435541.37,-1,0.998881,15725884.98,,,0.998881,12636.88,0.999206,15040.01,0.999029,-6.930232,8658,157_230_35
3987725,145,367,180,3642628.63,-1,1.000465,26105214.0,,,1.000465,24932.88,1.000768,31571.43,1.000599,10.069609,20203,367_180_145
2252085,127,209,60,601063.7,1,0.999816,6616587.4,,,0.997402,55076.2,1.000226,6354.14,0.999934,-27.469994,11501,209_60_127
1365043,103,127,260,0.0,0,0.998928,9167724.02,,,0.997958,5142.2,0.999045,514.78,0.998946,-8.8799,7011,127_260_103
4073078,98,375,50,1236985.36,1,1.000204,572864.17,,,0.998957,158189.49,1.000204,63438.2,0.999847,-1.8197298,20630,375_50_98
463745,109,43,470,778007.89,-1,1.001504,48499570.4,1.001173,1.001504,1.001504,276003.0,1.001834,133435.32,1.001726,1.9598007,2412,43_470_109
4428436,56,407,220,12086222.06,1,1.003252,36920803.92,,,1.002777,31638.0,1.003252,105.51,1.00325,-4.889965,22407,407_220_56
737829,74,69,270,1749267.1,-1,0.999042,27727729.29,,,0.99869,35450.0,0.999704,1419.44,0.999665,8.980036,3822,69_270_74
1031388,167,96,370,2954517.14,1,0.996897,87505672.73,1.008917,1.003597,0.996503,4854.72,0.997094,8399.6,0.99672,3.0195713,5317,96_370_167
609824,106,57,300,1044530.98,1,1.000583,5395270.66,1.0191,1.011556,1.000355,962.72,1.000583,8841.54,1.000377,5.660057,3165,57_300_106
1105656,166,103,290,0.0,0,0.999082,10086568.89,,,0.998803,14216.57,0.999082,95746.86,0.998839,0.07033348,5694,103_290_166
2676061,33,247,470,272671.73,1,1.001098,5012369.69,1.003052,1.002727,1.000935,10204.02,1.001098,16845.52,1.000997,-7.9500675,13632,247_470_33
4205378,198,387,60,9858903.65,1,1.000638,132219965.9,,,1.000386,341843.48,1.000638,76280.25,1.000592,-1.9800663,21291,387_60_198
4675283,103,429,460,311138.74,1,0.999553,9699286.62,0.999941,0.999941,0.999359,91634.4,0.999553,12151.64,0.99953,0.4196167,23641,429_460_103
4166251,71,383,310,1669082.9,-1,1.000092,33064780.4,0.991601,0.999052,0.999914,22632.17,1.000859,77460.56,1.000128,6.1500072,21096,383_310_71
2493391,45,231,90,25507073.4,-1,1.000235,478915670.11,,,1.000197,15725.4,1.00035,39319.5,1.000241,3.889799,12714,231_90_45
5043652,72,463,180,65234062.3,1,1.000367,45876320.06,,,1.000256,9028.5,1.000422,19866.0,1.000308,-2.2101402,25483,463_180_72
1872241,80,174,160,0.0,0,0.998263,1902861.37,,,0.997848,5485.68,0.998678,22394.4,0.998012,10.240078,9586,174_160_80
402389,55,38,60,1163734.01,1,0.999728,5891535.38,,,0.999543,39446.19,0.999728,28358.88,0.999651,1.9097328,2096,38_60_55
4424182,2,407,10,3930751.28,-1,0.999286,62786018.36,,,0.998908,21135.0,1.000468,211.68,1.000453,-1.3798475,22386,407_10_2
4191145,165,385,450,6404231.55,-1,0.996739,16621099.66,0.947895,0.948431,0.996739,288522.09,0.997275,362588.7,0.996976,0.23007393,21220,385_450_165
2942916,29,272,130,10411861.81,1,0.998884,38133024.5,,,0.99844,20936.4,0.998884,52364.25,0.998567,0.079870224,14973,272_130_29
4170391,11,383,520,0.0,0,1.003497,8101607.31,1.003497,1.003497,1.003409,41041.08,1.003584,133793.25,1.00345,-5.2398443,21117,383_520_11
5210856,76,478,290,4616855.68,-1,0.999076,5007930.66,,,0.999076,25707.37,0.999233,106354.6,0.999107,13.8401985,26319,478_290_76
3480251,71,321,110,8126550.44,-1,1.000818,12511663.33,,,1.000818,157166.17,1.001136,2988.9,1.001131,-0.25987625,17666,321_110_71
5072487,107,465,520,1747506.84,-1,1.000611,10837372.37,0.997926,0.99888,1.00047,20385.36,1.000788,5381.18,1.000721,1.0299683,25627,465_520_107
5039788,8,462,540,0.0,0,1.006293,59551165.46,1.006293,1.006293,1.005955,611974.1,1.006311,319639.58,1.006189,5.3596497,25464,462_540_8
1033280,87,96,470,4111242.29,1,1.006898,42159623.43,1.044356,1.019431,1.006341,4769.82,1.006898,20752.97,1.006445,-2.8198957,5327,96_470_87
3277747,112,302,430,6160568.86,1,1.002239,1037104510.83,1.004058,1.003078,1.002169,109005.64,1.002239,42975.0,1.002219,-0.7098913,16653,302_430_112
2951649,6,273,20,602123.23,-1,0.99882,3945615.07,,,0.998134,9693.54,1.000075,26792.8,0.99865,14.840364,15017,273_20_6
568764,177,53,380,669621.81,-1,1.000058,10637398.66,0.991212,0.993902,1.000006,45041.23,1.001972,62949.25,1.000827,-1.0699034,2953,53_380_177
1596170,5,148,450,5296756.5,1,1.004636,15431414.68,1.032189,1.023809,1.004382,49836.15,1.004636,39879.0,1.004524,8.490086,8185,148_450_5
41600,161,3,520,0.0,0,1.000266,8181639.85,1.000266,1.000266,1.000016,65645.58,1.000266,12026.0,1.000227,-12.609959,217,3_520_161
2417163,34,224,110,6875491.05,1,1.000355,19305434.04,,,1.000027,1826.37,1.00047,174191.16,1.000031,8.410215,12331,224_110_34
2141478,164,199,0,1017880.35,1,0.99966,11378367.34,,,0.998689,6443.85,1.000897,4418.7,1.0,-11.370182,10945,199_0_164
5083346,166,466,510,7107160.18,1,0.999838,43080781.35,1.0023,1.000932,0.999564,230796.54,0.999838,574628.04,0.999643,1.7905235,25681,466_510_166
4273825,45,393,190,32590768.56,1,1.001261,409439831.13,,,1.001261,750.48,1.001341,31272.5,1.001263,-4.0900707,21634,393_190_45
3698717,137,341,30,6563098.9,-1,0.999237,4361814.23,,,0.999237,11809.96,0.999531,6721.44,0.999425,-2.6398897,18758,341_30_137
2142364,54,199,50,0.0,0,0.999947,17534408.11,,,0.999025,8173.94,1.000266,8184.09,0.999646,-14.650226,10950,199_50_54
2698912,199,249,510,6349473.71,-1,1.000983,120571115.06,0.999425,0.999814,1.000983,389509.2,1.001372,293993.85,1.001205,-0.039935112,13746,249_510_199
4177389,9,384,320,1088759.42,1,1.002456,18092900.52,1.033431,1.013033,1.00224,35286.8,1.002563,2508.03,1.002542,-5.980134,21152,384_320_9
834993,50,78,280,1468660.52,1,0.999232,29485319.74,,,0.999018,5754.35,0.999445,18253.3,0.999121,24.689436,4318,78_280_50
1230298,106,115,20,465099.48,1,1.002114,5109409.83,,,1.001456,11638.71,1.002114,989.56,1.002063,-1.8000603,6327,115_20_106
519207,86,49,30,0.0,0,0.999034,3257013.93,,,0.998391,48761.06,0.999741,31100.0,0.999216,-13.620257,2698,49_30_86
748876,176,70,280,1452483.79,1,1.000142,13819485.0,,,1.000372,5572.48,1.000946,30317.76,1.000461,13.389587,3878,70_280_176
3259818,183,301,80,1157530.38,1,1.000123,27268806.84,,,0.999951,81088.0,1.000123,11586.0,1.000102,-3.0201674,16563,301_80_183
1606306,95,149,410,19809435.1,-1,0.996035,342209357.26,0.983376,0.988594,0.996035,1442.98,0.996132,72259.08,0.996037,13.619661,8236,149_410_95
2932845,108,271,170,2667652.35,1,0.998601,2801433.29,,,0.998201,27421.0,0.998893,54880.0,0.998432,0.3504753,14922,271_170_108
1533937,24,143,40,4282622.76,-1,0.999402,6487776.12,,,0.999402,31560.0,0.999782,10524.0,0.999687,0.53048134,7869,143_40_24
375573,49,35,320,19425.79,-1,0.996851,27656063.7,0.99633,0.996851,0.996591,104258.5,0.997112,282927.48,0.996731,-1.5300512,1957,35_320_49
1386123,104,129,230,4611697.55,-1,0.997941,18355181.89,,,0.997941,63212.1,0.998146,20346.64,0.998096,-0.079870224,7118,129_230_104
1962100,19,182,320,1550085.45,-1,0.999837,8827441.17,0.962995,0.969285,0.999777,3838.47,1.000377,19203.85,0.999877,-2.0498037,10042,182_320_19
785703,155,73,510,0.0,0,0.99571,1945570.54,0.99571,0.99571,0.995393,82123.65,0.995868,55782.56,0.995676,4.5895576,4066,73_510_155
4387959,179,403,390,45731895.5,1,0.996674,205773589.72,1.021885,1.015044,0.996674,77146.09,0.996839,18070.0,0.996808,6.5994263,22204,403_390_179
3779196,16,348,210,3437028.13,-1,0.998081,5871227.64,,,0.99788,1734.32,0.998363,17599.48,0.997923,10.499954,19161,348_210_16
4832809,29,444,90,13359223.47,1,1.00226,16397441.51,,,1.001661,1904.42,1.002397,14293.65,1.001747,4.5096874,24429,444_90_29
3261153,118,301,150,3387024.04,-1,0.999143,8055891.24,,,0.998327,82032.0,0.999496,82128.0,0.998912,52.729843,16570,301_150_118
3293984,149,304,140,3015314.3,1,1.001752,17538450.68,,,1.001401,17137.0,1.00181,14572.4,1.001622,1.1897087,16734,304_140_149
1723145,114,160,290,0.0,0,0.997885,7082887.2,,,0.996226,18608.0,0.998367,1864.8,0.998172,0.61035156,8829,160_290_114
1445387,69,134,490,0.0,0,0.995372,6195261.4,0.995372,0.995372,0.995372,126464.73,0.996175,206484.8,0.995677,-2.4300814,7419,134_490_69
47786,6,4,300,0.0,0,1.001101,8027995.57,1.001101,1.001101,1.000124,9624.2,1.001101,2408.4,1.000905,-10.020137,250,4_300_6
3408356,121,314,360,521893.38,1,1.000233,46280429.27,1.005389,1.000491,0.999976,351592.56,1.000233,65960.0,1.000193,10.010004,17306,314_360_121
2582623,126,239,170,13830181.75,-1,1.000837,47741177.17,,,1.000837,12264.0,1.001001,38944.55,1.000877,-7.879734,13162,239_170_126
4490102,122,413,0,194104.3,-1,0.999694,3957219.64,,,0.999694,249277.35,1.000412,335507.92,1.0,-19.47999,22715,413_0_122
172953,188,16,210,1704795.61,-1,0.999751,3388874.61,,,0.999525,21460.56,0.999751,9890.05,0.99968,7.6699257,901,16_210_188
4894428,48,449,420,1569564.49,-1,0.999109,21949602.06,0.989713,0.992686,0.999056,3764.0,0.999374,37652.0,0.999085,12.170076,24737,449_420_48
4915485,105,451,370,1251520.83,-1,1.000822,65189140.15,0.998225,0.999134,1.000822,61741.08,1.000952,92893.45,1.000874,1.2099743,24842,451_370_105
4758063,83,437,200,8574859.53,1,0.997923,55435572.1,,,0.997595,159298.92,0.997923,459042.55,0.997679,1.2803078,24055,437_200_83
1797479,180,167,210,916183.88,1,1.000695,3119395.89,,,1.000243,1993.2,1.000695,2924.68,1.000427,-0.48995018,9206,167_210_180
2348771,98,217,520,0.0,0,1.000975,3822002.42,1.000975,1.000975,0.999792,135191.55,1.000975,295152.48,1.000164,-15.069842,11987,217_520_98
2883381,195,266,430,3917361.31,-1,0.999684,19595442.81,0.981204,0.987331,0.999684,45428.76,0.999879,20148.8,0.999819,-2.8300285,14673,266_430_195
4396899,119,404,290,3347427.11,1,1.003109,4773367.16,,,1.002546,4448.5,1.003278,178.07,1.00325,7.020235,22249,404_290_119
1780363,3,165,450,543934.84,1,1.00025,66535577.14,1.003647,1.001112,1.000098,3353.08,1.00025,34127.71,1.000111,3.4201145,9120,165_450_3
485602,42,45,500,0.0,0,1.000504,3291347.83,1.000504,1.000504,0.999396,20700.05,1.000668,69250.56,0.999689,-3.6501884,2525,45_500_42
4510733,153,414,480,0.0,0,0.999749,6441249.46,0.999749,0.999749,0.999091,62552.42,0.999749,45660.8,0.999471,-1.5199184,22818,414_480_153
1853907,66,172,330,262210.33,1,0.998346,6910475.48,0.998927,0.998927,0.997911,687.5,0.998491,5778.36,0.997972,2.5296211,9493,172_330_66
3965411,31,365,170,68856.2,1,1.000732,211304.9,,,0.996898,82953.0,1.000732,28605.6,0.999752,7.4994564,20092,365_170_31
3595831,51,331,390,0.0,0,0.997302,2983264.57,0.997302,0.997302,0.996949,25002.92,0.997479,15868.07,0.997273,-3.0601025,18244,331_390_51
440317,158,41,360,0.0,0,0.996065,2584064.66,0.996065,0.996065,0.995771,17138.22,0.997241,14687.36,0.996564,7.8499317,2291,41_360_158
4292917,137,395,40,2201483.66,1,1.000021,6156059.19,,,0.999471,21808.0,1.000021,25311.2,0.999725,1.399517,21729,395_40_137
942750,179,88,270,6341093.42,-1,1.002267,450735876.36,,,1.001582,32522.0,1.001862,139464.97,1.001635,-8.100271,4867,88_270_179
758998,105,71,250,11279502.91,1,1.000537,28457721.14,,,1.000378,91282.12,1.000537,7095.27,1.000526,1.6701221,3930,71_250_105
4377721,141,402,430,4071450.11,-1,0.998616,86738693.91,0.981746,0.98769,0.998703,6284.3,0.998791,11427.0,0.998734,2.5999546,22153,402_430_141
2027213,190,188,300,1887450.91,-1,0.995732,26795916.12,0.976481,0.976677,0.995732,40706.0,0.996637,13037.76,0.996418,-20.30015,10370,188_300_190
1115689,152,104,250,1085318.83,1,1.001604,7026031.79,,,1.001011,105726.4,1.001604,6222.88,1.001571,12.279749,5745,104_250_152
3626005,25,334,250,31902303.5,1,0.999912,55879518.43,,,0.999998,11573.0,1.000344,11577.0,1.000171,1.3196468,18395,334_250_25
2997713,101,277,130,595061.64,-1,1.001663,1813761.34,,,1.001651,3367.48,1.002686,2528.22,1.002242,-12.000203,15248,277_130_101
44981,83,4,150,89266320.57,1,0.999846,55761272.04,,,0.99966,65639.68,0.999846,120667.65,0.999726,2.6595592,235,4_150_83
1207510,171,112,510,855887.11,-1,0.999382,30709887.99,0.998298,0.998917,0.999331,4644.24,0.99964,48005.36,0.999358,5.2702427,6211,112_510_171
4985986,6,458,50,4159845.14,1,1.001644,60764355.95,,,1.000316,1265.56,1.001897,1267.56,1.001107,18.650293,25195,458_50_6
1924947,189,179,80,3108044.27,-1,1.002411,5954472.27,,,1.002411,6969.6,1.002569,1584.25,1.00254,4.2402744,9853,179_80_189
4689694,114,431,80,9951427.93,1,1.000633,13922880.61,,,1.000144,204.48,1.000926,46044.0,1.000147,-4.3302774,23713,431_80_114
266800,144,25,150,1862452.48,1,1.000366,7448244.42,,,1.000306,40550.64,1.000427,41462.29,1.000366,2.2101402,1390,25_150_144
213114,22,20,110,1341995.5,1,0.999835,7522774.33,,,0.999615,68750.7,0.999835,24873.72,0.999776,-6.1899424,1111,20_110_22
1966,56,0,100,1743274.7,1,1.000442,5931549.25,,,1.000177,377.44,1.000495,18878.0,1.000184,7.890463,10,0_100_56
4818697,117,442,480,73620.42,-1,0.997481,3164163.64,0.995381,0.997481,0.997481,341734.0,0.998531,470003.22,0.997924,0.6496906,24358,442_480_117
4073281,101,375,60,3547738.27,1,1.001227,1945908.87,,,1.000769,8531.05,1.002099,776.58,1.001988,-5.580187,20631,375_60_101
3165422,53,292,310,0.0,0,0.999354,21247067.49,0.999354,0.999354,0.999089,89305.8,0.999354,57054.9,0.999251,1.8298626,16091,292_310_53
3183982,107,294,140,458892.22,-1,0.998934,2026210.76,,,0.998934,4656.2,1.000049,96257.91,0.998985,-5.75006,16184,294_140_107
2786509,36,257,520,3157390.93,1,1.000277,106635105.36,1.000428,1.000428,1.000247,16096.18,1.000488,10788.7,1.000391,-4.529953,14187,257_520_36
5084171,191,467,0,121544610.95,1,0.999686,259630088.1,,,0.999841,17571.88,1.000112,12407.04,1.0,8.070469,25685,467_0_191
